,cacao,camaldule,clementin,grandis,halophilu,lyrata,papaya,parvulum,raimondii,rapa,rubella,sinensis,thalian,vinifera
cacao,0.0,0.7398196834553528,0.7466541254148276,0.7399025734158486,0.791890944465591,0.7998305900233207,0.7616187264520359,0.8344952735820357,0.7027490903512272,0.7956916628833554,0.8247938526053997,0.7363113204850531,0.8329529806345644,0.7192699792767819
camaldule,0.7398196834553528,0.0,0.750953020956815,0.6371177439319982,0.7821183807629437,0.8027157965379484,0.7658361179314377,0.8491152245086993,0.6759768268970348,0.8040281634572678,0.8366770384504657,0.7416042004637675,0.8452487985529324,0.7009936922278962
clementin,0.7466541254148276,0.750953020956815,0.0,0.751199058401949,0.7962972198611264,0.8033387698099694,0.7643659106512206,0.8388310283214259,0.7160050871006435,0.7995800242024814,0.828499260216302,0.7199324436761998,0.8371028957124473,0.7300969481906494
grandis,0.7399025734158486,0.6371177439319982,0.751199058401949,0.0,0.7825550380482803,0.8021165935010923,0.766418515350609,0.8482397007425323,0.6780881212098413,0.8030580770233364,0.8363057727843721,0.7416415497032556,0.8444544789060947,0.7021768001850961
halophilu,0.791890944465591,0.7821183807629437,0.7962972198611264,0.7825550380482803,0.0,0.8152665438809198,0.8019945505886699,0.8480650790846835,0.7700317562358976,0.8153787361231656,0.8395334378149036,0.7907921814171854,0.8444602405464231,0.7738285728479513
lyrata,0.7998305900233207,0.8027157965379484,0.8033387698099694,0.8021165935010923,0.8152665438809198,0.0,0.810682421975001,0.8460185072091378,0.7800242362801448,0.8061402018486471,0.8357463062748777,0.7974216091140345,0.8423452458185372,0.7864386869850359
papaya,0.7616187264520359,0.7658361179314377,0.7643659106512206,0.766418515350609,0.8019945505886699,0.810682421975001,0.0,0.8433761777769523,0.7312978426287535,0.8043266424952922,0.8323293767737607,0.7568619714442864,0.8415412602061969,0.7440776289043933
parvulum,0.8344952735820357,0.8491152245086993,0.8388310283214259,0.8482397007425323,0.8480650790846835,0.8460185072091378,0.8433761777769523,0.0,0.8253999442675992,0.8427821230607283,0.8500923719210013,0.8345950438734177,0.8491153905381753,0.8295723493152442
raimondii,0.7027490903512272,0.6759768268970348,0.7160050871006435,0.6780881212098413,0.7700317562358976,0.7800242362801448,0.7312978426287535,0.8253999442675992,0.0,0.7743865724190386,0.814039702795146,0.7052512156997489,0.8236932766093517,0.6647868418065453
rapa,0.7956916628833554,0.8040281634572678,0.7995800242024814,0.8030580770233364,0.8153787361231656,0.8061402018486471,0.8043266424952922,0.8427821230607283,0.7743865724190386,0.0,0.8332389332367874,0.793177069532017,0.8406844277779372,0.782160321259679
rubella,0.8247938526053997,0.8366770384504657,0.828499260216302,0.8363057727843721,0.8395334378149036,0.8357463062748777,0.8323293767737607,0.8500923719210013,0.814039702795146,0.8332389332367874,0.0,0.8236332215053448,0.8448917765615505,0.8175454632403129
sinensis,0.7363113204850531,0.7416042004637675,0.7199324436761998,0.7416415497032556,0.7907921814171854,0.7974216091140345,0.7568619714442864,0.8345950438734177,0.7052512156997489,0.793177069532017,0.8236332215053448,0.0,0.8327862952465613,0.7194503094126976
thalian,0.8329529806345644,0.8452487985529324,0.8371028957124473,0.8444544789060947,0.8444602405464231,0.8423452458185372,0.8415412602061969,0.8491153905381753,0.8236932766093517,0.8406844277779372,0.8448917765615505,0.8327862952465613,0.0,0.8269425517293786
vinifera,0.7192699792767819,0.7009936922278962,0.7300969481906494,0.7021768001850961,0.7738285728479513,0.7864386869850359,0.7440776289043933,0.8295723493152442,0.6647868418065453,0.782160321259679,0.8175454632403129,0.7194503094126976,0.8269425517293786,0.0
