,cacao,camaldule,clementin,grandis,halophilu,lyrata,papaya,parvulum,raimondii,rapa,rubella,sinensis,thalian,vinifera
cacao,0.0,0.40833425884340435,0.36084788952612534,0.40846360652212976,0.45622682643370294,0.4114472769243903,0.39172738707181143,0.3857703810867571,0.35478647721986967,0.3977400925880028,0.3928040654735041,0.3418007015470017,0.3951092942536669,0.35076471084620575
camaldule,0.40833425884340435,0.0,0.37989067217828376,0.09384465741655035,0.4004716525500187,0.37467431121162964,0.40856209097838525,0.3412336315643407,0.4006338229435511,0.3669495296851306,0.3591069450152097,0.3640232677618107,0.35304527873068126,0.3797408033563149
clementin,0.36084788952612534,0.37989067217828376,0.0,0.37993087905294864,0.432277719091551,0.3799423474950475,0.3639527541788036,0.34863589104140824,0.3385270621276807,0.35855419996854787,0.36014871525371683,0.13753908488699096,0.363257944742596,0.34232315492660514
grandis,0.40846360652212976,0.09384465741655035,0.37993087905294864,0.0,0.39920874125607675,0.37386144183310743,0.40891484356889096,0.34011634382028777,0.4015387284241819,0.3660085913556853,0.35802553661795355,0.3639573881913446,0.351817491340252,0.37977619304339494
halophilu,0.45622682643370294,0.4004716525500187,0.432277719091551,0.39920874125607675,0.0,0.36175847612680345,0.4503376281058997,0.3370782241906559,0.4448041084366906,0.3596551397752641,0.35085442152085355,0.41832395929895094,0.34358970011609846,0.4391924475126908
lyrata,0.4114472769243903,0.37467431121162964,0.3799423474950475,0.37386144183310743,0.36175847612680345,0.0,0.40327447613027567,0.2620027897186482,0.38801165713282315,0.28908544188094754,0.2704095650301237,0.36088518926499713,0.25764460945678047,0.3915969029491204
papaya,0.39172738707181143,0.40856209097838525,0.3639527541788036,0.40891484356889096,0.4503376281058997,0.40327447613027567,0.0,0.37344600046335186,0.36678947710297405,0.3774585791374714,0.3828173855225758,0.34653682961474874,0.39056205620980144,0.36851031971714554
parvulum,0.3857703810867571,0.3412336315643407,0.34863589104140824,0.34011634382028777,0.3370782241906559,0.2620027897186482,0.37344600046335186,0.0,0.35854502542240274,0.23292751011747737,0.22375179758837993,0.326483409397633,0.21783621801216957,0.3648815305425108
raimondii,0.35478647721986967,0.4006338229435511,0.3385270621276807,0.4015387284241819,0.4448041084366906,0.38801165713282315,0.36678947710297405,0.35854502542240274,0.0,0.36448683675462723,0.3680772256981929,0.3160634664345665,0.37391825466221174,0.3425725235040118
rapa,0.3977400925880028,0.3669495296851306,0.35855419996854787,0.3660085913556853,0.3596551397752641,0.28908544188094754,0.3774585791374714,0.23292751011747737,0.36448683675462723,0.0,0.24995333222299676,0.3371834485690818,0.25764455154391763,0.3729409369935136
rubella,0.3928040654735041,0.3591069450152097,0.36014871525371683,0.35802553661795355,0.35085442152085355,0.2704095650301237,0.3828173855225758,0.22375179758837993,0.3680772256981929,0.24995333222299676,0.0,0.3379983823973778,0.22874478916851992,0.3715466056025657
sinensis,0.3418007015470017,0.3640232677618107,0.13753908488699096,0.3639573881913446,0.41832395929895094,0.36088518926499713,0.34653682961474874,0.326483409397633,0.3160634664345665,0.3371834485690818,0.3379983823973778,0.0,0.3411025841335652,0.32030599044415253
thalian,0.3951092942536669,0.35304527873068126,0.363257944742596,0.351817491340252,0.34358970011609846,0.25764460945678047,0.39056205620980144,0.21783621801216957,0.37391825466221174,0.25764455154391763,0.22874478916851992,0.3411025841335652,0.0,0.3755139665121434
vinifera,0.35076471084620575,0.3797408033563149,0.34232315492660514,0.37977619304339494,0.4391924475126908,0.3915969029491204,0.36851031971714554,0.3648815305425108,0.3425725235040118,0.3729409369935136,0.3715466056025657,0.32030599044415253,0.3755139665121434,0.0
