Node1,Node2,Weight
camaldule,grandis,0.7432173408073519
raimondii,vinifera,0.7511331479014912
camaldule,raimondii,0.7604511320677414
cacao,raimondii,0.7872735541684975
raimondii,sinensis,0.791797611887149
clementin,raimondii,0.7990126290886921
papaya,raimondii,0.8106644547820632
halophilu,raimondii,0.8437521835905787
raimondii,rapa,0.8497521838501026
lyrata,raimondii,0.8555605415145842
raimondii,rubella,0.8819273555544326
raimondii,thalian,0.8896902404747554
parvulum,raimondii,0.8905387028143611
